PLAYER NAME,drive_acc
Francesco Molinari,76.88
David Toms,74.5
Jason Bohn,71.99
Chez Reavie,71.89
Justin Leonard,71.7
Colt Knost,71.58
Steven Alker,71.41
Zach Johnson,71.17
Brendon Todd,70.38
Ryan Moore,69.54
Heath Slocum,69.51
John Huh,69.44
Brian Stuard,69.31
Henrik Stenson,69.23
Spencer Levin,69.22
Jerry Kelly,69.13
Will Wilcox,68.98
Kevin Streelman,68.83
Nicholas Thompson,68.7
Jason Dufner,68.32
John Merrick,68.32
Jim Furyk,68.21
Cameron Tringale,67.99
Ken Duke,67.91
Vaughn Taylor,67.75
Kevin Kisner,67.73
William McGirt,67.72
Russell Knox,67.67
Brian Davis,67.66
Webb Simpson,67.65
Will MacKenzie,67.6
John Peterson,67.52
Ben Crane,67.49
Jon Curran,67.46
Zac Blair,67.02
Jim Herman,66.92
John Senden,66.83
Brendon de Jonge,66.69
Bryce Molder,66.64
Jason Gore,66.53
Pat Perez,66.4
Mark Hubbard,66.32
Ryan Armour,65.96
Billy Hurley III,65.91
Hideki Matsuyama,65.85
Roberto Castro,65.76
S.J. Park,65.73
Chad Campbell,65.63
Jonathan Byrd,65.6
Ben Martin,65.52
Graham DeLaet,65.46
Adam Hadwin,65.43
David Lingmerth,65.08
Davis Love III,64.84
Keegan Bradley,64.63
Mark Wilson,64.36
Derek Ernst,64.3
Chris Stroud,64.22
Russell Henley,64.12
K.J. Choi,64.09
George McNeill,64.09
Justin Rose,64.05
Sam Saunders,64
David Hearn,63.99
Brian Harman,63.94
Chad Collins,63.82
Lucas Glover,63.82
Blayne Barber,63.72
Ian Poulter,63.6
Bill Lunde,63.59
Billy Horschel,63.56
Danny Lee,63.55
Paul Casey,63.45
Bill Haas,63.39
Hudson Swafford,63.3
Kevin Chappell,63.27
Alex Cejka,63.18
Tim Wilkinson,63.09
Matt Kuchar,63.08
Robert Allenby,63.06
Steve Wheatcroft,63.03
Jordan Spieth,63
Boo Weekley,62.84
Rickie Fowler,62.83
Charlie Beljan,62.61
Troy Merritt,62.51
Scott Brown,62.39
Greg Chalmers,62.17
Tom Gillis,62.07
Alex Prugh,62.03
Shawn Stefani,62.02
Johnson Wagner,61.97
Kevin Na,61.91
Scott Langley,61.9
Kyle Reifers,61.8
Oscar Fraustro,61.78
Brandt Snedeker,61.54
Michael Putnam,61.47
Fabian Gomez,61.38
Brice Garnett,61.25
Chris Kirk,61.25
Daniel Summerhays,61.19
Nick Watney,61.11
Scott Pinckney,61.04
Gonzalo Fdez-Castano,60.97
Charl Schwartzel,60.81
Brendan Steele,60.79
Daniel Berger,60.74
Bo Van Pelt,60.73
Adam Scott,60.69
J.J. Henry,60.44
Whee Kim,60.4
Sean O'Hair,60.37
Sergio Garcia,60.33
Cameron Percy,60.31
Jonas Blixt,60.26
Matt Jones,60.15
Louis Oosthuizen,60.1
Jamie Donaldson,60.09
Vijay Singh,60.06
Rory Sabbatini,59.96
Carlos Ortiz,59.95
Robert Streb,59.75
Lee Westwood,59.7
Greg Owen,59.63
Geoff Ogilvy,59.59
Luke Donald,59.51
Branden Grace,59.46
Roger Sloan,59.45
Sangmoon Bae,59.35
Andrew Svoboda,59.32
Erik Compton,59.31
Hunter Mahan,59.29
James Hahn,59.27
Scott Piercy,59.12
Harris English,59.09
Carl Pettersson,59.06
Trevor Immelman,58.92
Jeff Overton,58.87
Luke Guthrie,58.86
Tom Hoge,58.84
Freddie Jacobson,58.77
Martin Laird,58.58
Justin Thomas,58.4
Carlos Sainz Jr,58.35
Brooks Koepka,58.26
Michael Thompson,58.24
Byron Smith,58.15
Andres Gonzales,58.06
Charley Hoffman,57.96
Scott Stallings,57.74
Zack Sucher,57.5
Jim Renner,57.44
Stewart Cink,57.35
Chesson Hadley,57.15
Patrick Rodgers,56.97
Martin Flores,56.83
Bubba Watson,56.81
Ernie Els,56.79
Robert Garrigus,56.72
Retief Goosen,56.57
Phil Mickelson,56.52
Max Homa,56.45
Ryo Ishikawa,56.39
Jason Kokrak,56.39
Ryan Palmer,56.39
D.A. Points,56.37
Nick Taylor,56.05
Jhonattan Vegas,56.01
Jason Day,55.93
Angel Cabrera,55.9
Gary Woodland,55.66
Eric Axley,55.54
Dustin Johnson,55.33
Jonathan Randolph,55.19
Andrew Putnam,54.98
Seung-Yul Noh,54.87
Marc Leishman,54.83
Morgan Hoffmann,54.71
J.B. Holmes,54.62
Tony Finau,54.34
Patrick Reed,54.29
Ricky Barnes,54.1
Steven Bowditch,53.94
Camilo Villegas,53.69
Tyrone Van Aswegen,53.39
Andres Romero,52.67
Jimmy Walker,52.61
Charles Howell III,52.31
Matt Every,52.09
Padraig Harrington,51.72
Derek Fathauer,51.63
Aaron Baddeley,50.29
