"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Rory McIlroy",12800,"Golf@Golf 06:00AM ET",82.100,"Golf"
"G","Justin Rose",12000,"Golf@Golf 06:00AM ET",73.632,"Golf"
"G","Hideki Matsuyama",10800,"Golf@Golf 06:00AM ET",77.167,"Golf"
"G","Brooks Koepka",10600,"Golf@Golf 06:00AM ET",76.357,"Golf"
"G","Justin Thomas",9300,"Golf@Golf 06:00AM ET",70.217,"Golf"
"G","Tony Finau",9200,"Golf@Golf 06:00AM ET",63.855,"Golf"
"G","Robert Streb",9200,"Golf@Golf 06:00AM ET",69.621,"Golf"
"G","Kevin Na",9000,"Golf@Golf 06:00AM ET",65.480,"Golf"
"G","Daniel Berger",8900,"Golf@Golf 06:00AM ET",57.850,"Golf"
"G","Brandt Snedeker",8800,"Golf@Golf 06:00AM ET",67.260,"Golf"
"G","Emiliano Grillo",8800,"Golf@Golf 06:00AM ET",70.500,"Golf"
"G","Charl Schwartzel",8700,"Golf@Golf 06:00AM ET",56.611,"Golf"
"G","Ryan Palmer",8600,"Golf@Golf 06:00AM ET",65.881,"Golf"
"G","Hunter Mahan",8600,"Golf@Golf 06:00AM ET",60.875,"Golf"
"G","Brendan Steele",8300,"Golf@Golf 06:00AM ET",67.435,"Golf"
"G","Matt Jones",8200,"Golf@Golf 06:00AM ET",66.521,"Golf"
"G","Ryan Moore",8200,"Golf@Golf 06:00AM ET",61.413,"Golf"
"G","Steven Bowditch",8200,"Golf@Golf 06:00AM ET",57.758,"Golf"
"G","Kevin Chappell",8200,"Golf@Golf 06:00AM ET",57.462,"Golf"
"G","Nick Watney",8100,"Golf@Golf 06:00AM ET",56.589,"Golf"
"G","Webb Simpson",8100,"Golf@Golf 06:00AM ET",65.976,"Golf"
"G","Chris Kirk",8100,"Golf@Golf 06:00AM ET",62.750,"Golf"
"G","Russell Henley",8100,"Golf@Golf 06:00AM ET",66.348,"Golf"
"G","Daniel Summerhays",8000,"Golf@Golf 06:00AM ET",60.828,"Golf"
"G","Brendon Todd",8000,"Golf@Golf 06:00AM ET",62.077,"Golf"
"G","Cameron Tringale",8000,"Golf@Golf 06:00AM ET",56.375,"Golf"
"G","Patrick Rodgers",8000,"Golf@Golf 06:00AM ET",57.500,"Golf"
"G","Russell Knox",7900,"Golf@Golf 06:00AM ET",60.089,"Golf"
"G","Chez Reavie",7800,"Golf@Golf 06:00AM ET",47.658,"Golf"
"G","Chris Stroud",7800,"Golf@Golf 06:00AM ET",50.339,"Golf"
"G","Charles Howell III",7600,"Golf@Golf 06:00AM ET",57.617,"Golf"
"G","Jason Bohn",7600,"Golf@Golf 06:00AM ET",65.926,"Golf"
"G","Lucas Glover",7600,"Golf@Golf 06:00AM ET",49.481,"Golf"
"G","Brendon de Jonge",7600,"Golf@Golf 06:00AM ET",59.935,"Golf"
"G","Brian Harman",7600,"Golf@Golf 06:00AM ET",53.293,"Golf"
"G","John Senden",7500,"Golf@Golf 06:00AM ET",53.370,"Golf"
"G","Rory Sabbatini",7500,"Golf@Golf 06:00AM ET",57.980,"Golf"
"G","Bryce Molder",7500,"Golf@Golf 06:00AM ET",59.300,"Golf"
"G","George McNeill",7500,"Golf@Golf 06:00AM ET",59.852,"Golf"
"G","Pat Perez",7500,"Golf@Golf 06:00AM ET",68.423,"Golf"
"G","Graham DeLaet",7500,"Golf@Golf 06:00AM ET",48.935,"Golf"
"G","Jonas Blixt",7500,"Golf@Golf 06:00AM ET",48.540,"Golf"
"G","Jamie Lovemark",7500,"Golf@Golf 06:00AM ET",52.250,"Golf"
"G","Ryo Ishikawa",7500,"Golf@Golf 06:00AM ET",55.111,"Golf"
"G","Roberto Castro",7500,"Golf@Golf 06:00AM ET",50.200,"Golf"
"G","Will Wilcox",7500,"Golf@Golf 06:00AM ET",66.219,"Golf"
"G","Cameron Smith",7500,"Golf@Golf 06:00AM ET",61.423,"Golf"
"G","Jerry Kelly",7400,"Golf@Golf 06:00AM ET",58.229,"Golf"
"G","David Hearn",7400,"Golf@Golf 06:00AM ET",55.333,"Golf"
"G","Camilo Villegas",7400,"Golf@Golf 06:00AM ET",49.130,"Golf"
"G","Martin Laird",7400,"Golf@Golf 06:00AM ET",55.750,"Golf"
"G","Sam Saunders",7400,"Golf@Golf 06:00AM ET",47.907,"Golf"
"G","Sean O'Hair",7300,"Golf@Golf 06:00AM ET",58.308,"Golf"
"G","Scott Brown",7300,"Golf@Golf 06:00AM ET",56.083,"Golf"
"G","Zac Blair",7300,"Golf@Golf 06:00AM ET",50.879,"Golf"
"G","Carl Pettersson",7200,"Golf@Golf 06:00AM ET",56.125,"Golf"
"G","Boo Weekley",7200,"Golf@Golf 06:00AM ET",58.417,"Golf"
"G","Jim Herman",7200,"Golf@Golf 06:00AM ET",55.852,"Golf"
"G","Jason Gore",7100,"Golf@Golf 06:00AM ET",49.180,"Golf"
"G","Ricky Barnes",7100,"Golf@Golf 06:00AM ET",47.135,"Golf"
"G","Kyle Reifers",7100,"Golf@Golf 06:00AM ET",49.500,"Golf"
"G","Shawn Stefani",7100,"Golf@Golf 06:00AM ET",66.269,"Golf"
"G","Kevin Streelman",7000,"Golf@Golf 06:00AM ET",57.481,"Golf"
"G","William McGirt",7000,"Golf@Golf 06:00AM ET",56.933,"Golf"
"G","James Hahn",7000,"Golf@Golf 06:00AM ET",57.571,"Golf"
"G","Tom Hoge",7000,"Golf@Golf 06:00AM ET",53.340,"Golf"
"G","Chad Campbell",6900,"Golf@Golf 06:00AM ET",53.467,"Golf"
"G","Jason Kokrak",6900,"Golf@Golf 06:00AM ET",54.214,"Golf"
"G","Seung-yul Noh",6900,"Golf@Golf 06:00AM ET",51.405,"Golf"
"G","Ben Martin",6900,"Golf@Golf 06:00AM ET",61.462,"Golf"
"G","Hudson Swafford",6900,"Golf@Golf 06:00AM ET",58.103,"Golf"
"G","Geoff Ogilvy",6800,"Golf@Golf 06:00AM ET",52.643,"Golf"
"G","Ollie Schniederjans",6800,"Golf@Golf 06:00AM ET",64.167,"Golf"
"G","Johnson Wagner",6700,"Golf@Golf 06:00AM ET",50.957,"Golf"
"G","Fredrik Jacobson",6600,"Golf@Golf 06:00AM ET",52.821,"Golf"
"G","Carlos Ortiz",6600,"Golf@Golf 06:00AM ET",56.793,"Golf"
"G","Scott Pinckney",6600,"Golf@Golf 06:00AM ET",54.852,"Golf"
"G","John Peterson",6600,"Golf@Golf 06:00AM ET",55.960,"Golf"
"G","Derek Fathauer",6500,"Golf@Golf 06:00AM ET",46.000,"Golf"
"G","Michael Thompson",6500,"Golf@Golf 06:00AM ET",50.000,"Golf"
"G","Whee Kim",6500,"Golf@Golf 06:00AM ET",52.114,"Golf"
"G","David Toms",6400,"Golf@Golf 06:00AM ET",46.075,"Golf"
"G","Dawie Van Der Walt",6400,"Golf@Golf 06:00AM ET",63.500,"Golf"
"G","Troy Merritt",6400,"Golf@Golf 06:00AM ET",49.328,"Golf"
"G","Angel Cabrera",6300,"Golf@Golf 06:00AM ET",42.605,"Golf"
"G","D.H. Lee",6300,"Golf@Golf 06:00AM ET",62.500,"Golf"
"G","Hiroshi Iwata",6300,"Golf@Golf 06:00AM ET",59.250,"Golf"
"G","Colt Knost",6300,"Golf@Golf 06:00AM ET",52.893,"Golf"
"G","Scott Stallings",6300,"Golf@Golf 06:00AM ET",51.579,"Golf"
"G","Adam Hadwin",6300,"Golf@Golf 06:00AM ET",52.776,"Golf"
"G","Jon Curran",6300,"Golf@Golf 06:00AM ET",46.556,"Golf"
"G","Henrik Norlander",6200,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Scott Langley",6200,"Golf@Golf 06:00AM ET",54.074,"Golf"
"G","Andrew Loupe",6200,"Golf@Golf 06:00AM ET",42.679,"Golf"
"G","Justin Leonard",6100,"Golf@Golf 06:00AM ET",40.273,"Golf"
"G","Tim Clark",6100,"Golf@Golf 06:00AM ET",54.292,"Golf"
"G","Steve Marino",6100,"Golf@Golf 06:00AM ET",15.500,"Golf"
"G","Spencer Levin",6100,"Golf@Golf 06:00AM ET",50.867,"Golf"
"G","Greg Owen",6000,"Golf@Golf 06:00AM ET",49.789,"Golf"
"G","Fabian Gomez",6000,"Golf@Golf 06:00AM ET",51.481,"Golf"
"G","John Huh",6000,"Golf@Golf 06:00AM ET",54.967,"Golf"
"G","Michael Kim",6000,"Golf@Golf 06:00AM ET",0,"Golf"
"G","J.J. Henry",5900,"Golf@Golf 06:00AM ET",47.086,"Golf"
"G","Jeff Overton",5900,"Golf@Golf 06:00AM ET",51.207,"Golf"
"G","Blayne Barber",5900,"Golf@Golf 06:00AM ET",50.740,"Golf"
"G","Erik Compton",5800,"Golf@Golf 06:00AM ET",51.696,"Golf"
"G","Will MacKenzie",5800,"Golf@Golf 06:00AM ET",51.188,"Golf"
"G","Matt Every",5800,"Golf@Golf 06:00AM ET",39.300,"Golf"
"G","Brett Stegmaier",5800,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Aaron Baddeley",5700,"Golf@Golf 06:00AM ET",51.167,"Golf"
"G","Steve Wheatcroft",5700,"Golf@Golf 06:00AM ET",53.796,"Golf"
"G","Tyrone Van Aswegen",5700,"Golf@Golf 06:00AM ET",43.158,"Golf"
"G","Chesson Hadley",5700,"Golf@Golf 06:00AM ET",55.983,"Golf"
"G","Si Woo Kim",5700,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Chad Collins",5600,"Golf@Golf 06:00AM ET",54.729,"Golf"
"G","Jhonattan Vegas",5600,"Golf@Golf 06:00AM ET",53.288,"Golf"
"G","Rhein Gibson",5600,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Luke Guthrie",5600,"Golf@Golf 06:00AM ET",50.327,"Golf"
"G","Nick Taylor",5500,"Golf@Golf 06:00AM ET",52.750,"Golf"
"G","Andres Gonzales",5500,"Golf@Golf 06:00AM ET",52.111,"Golf"
"G","Martin Piller",5500,"Golf@Golf 06:00AM ET",96.000,"Golf"
"G","Mark Hubbard",5500,"Golf@Golf 06:00AM ET",51.875,"Golf"
"G","Ben Crane",5400,"Golf@Golf 06:00AM ET",39.952,"Golf"
"G","Justin Hicks",5400,"Golf@Golf 06:00AM ET",29.679,"Golf"
"G","Bronson Burgoon",5400,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Kelly Kraft",5400,"Golf@Golf 06:00AM ET",19.000,"Golf"
"G","Harold Varner III",5400,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Charlie Beljan",5300,"Golf@Golf 06:00AM ET",42.942,"Golf"
"G","Smylie Kaufman",5300,"Golf@Golf 06:00AM ET",45.000,"Golf"
"G","Dicky Pride",5200,"Golf@Golf 06:00AM ET",38.375,"Golf"
"G","Stuart Appleby",5200,"Golf@Golf 06:00AM ET",49.938,"Golf"
"G","Robert Allenby",5200,"Golf@Golf 06:00AM ET",32.938,"Golf"
"G","Peter Malnati",5200,"Golf@Golf 06:00AM ET",21.500,"Golf"
"G","Shane Bertsch",5100,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Miguel Angel Carballo",5100,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Wes Roach",5100,"Golf@Golf 06:00AM ET",79.000,"Golf"
"G","Jarrod Lyle",5000,"Golf@Golf 06:00AM ET",37.500,"Golf"
"G","Tyler Aldridge",5000,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Abraham Ancer",5000,"Golf@Golf 06:00AM ET",0,"Golf"
